Arsenal	38	65.6	28.3	37.3	76.8
Man City	38	71.0	44.2	26.8	69.7
Man Utd	38	65.5	48.6	16.9	62.0
Liverpool	38	61.4	47.4	13.9	60.7
Chelsea	38	66.5	52.3	14.3	60.5
Brighton	38	57.9	49.1	8.8	57.9
Bournemouth	38	61.9	56.8	5.1	57.5
Brentford	38	60.3	54.1	6.2	56.6
Newcastle	38	57.1	51.3	5.8	56.4
Crystal Palace	38	58.2	51.9	6.3	56.2
Leeds	38	54.2	55.7	-1.4	54.5
Aston Villa	38	48.2	53.9	-5.7	48.7
Fulham	38	48.4	53.3	-5.0	48.7
Everton	38	46.7	56.5	-9.8	45.6
Spurs	38	40.1	52.3	-12.2	45.0
Nottm Forest	38	46.0	57.3	-11.3	44.6
West Ham	38	46.1	59.6	-13.5	44.0
Sunderland	38	38.9	54.5	-15.6	41.8
Wolves	38	35.5	59.5	-24.0	38.5
Burnley	38	32.5	75.4	-42.9	25.3
